name,rows,reserved,data,index_size,unused
A_RWMS_CUSTOMER_STATUS,23973,11424 KB,8992 KB,2424 KB,8 KB
R_01_A,0,0 KB,0 KB,0 KB,0 KB
R_01_B,0,0 KB,0 KB,0 KB,0 KB
R_02_A,0,0 KB,0 KB,0 KB,0 KB
R_02_B,878,144 KB,88 KB,24 KB,32 KB
R_03_A,0,0 KB,0 KB,0 KB,0 KB
R_03_B,191,48 KB,32 KB,16 KB,0 KB
RW_IND_BASIC_INFO_TAB,212373,156848 KB,123600 KB,33176 KB,72 KB
T01_CUST_RELATIVE_G,76179,24800 KB,16640 KB,8112 KB,48 KB
T01_IC_ALI_OWE_LOAN_C,0,0 KB,0 KB,0 KB,0 KB
T01_IC_BREAK_DEBETOR_C,295996,315128 KB,310840 KB,4256 KB,32 KB
T01_IC_DEBETOR_C,12683595,3080896 KB,3034240 KB,46112 KB,544 KB
T01_IND_CUST_BIZ_INFO_P,0,0 KB,0 KB,0 KB,0 KB
T01_IND_CUST_CORE_INFO_P,17711364,25499328 KB,25327224 KB,167800 KB,4304 KB
